sta,date,prcp
GOR,2013-04-15,582
GOR,2014-04-15,709
GOR,2015-04-15,718
GOR,2016-04-15,1117
GOR,2017-04-15,606
GOR,2018-04-15,600
GOR,1959-05-15,923
GOR,1960-05-15,1080
GOR,1961-05-15,1336
GOR,1962-05-15,1765
GOR,1963-05-15,527
GOR,1964-05-15,482
GOR,1965-05-15,1229
GOR,1966-05-15,208
GOR,1967-05-15,470
GOR,1968-05-15,711
GOR,1969-05-15,331
GOR,1970-05-15,476
GOR,1971-05-15,894
GOR,1972-05-15,791
GOR,1973-05-15,689
GOR,1974-05-15,318
GOR,1975-05-15,631
GOR,1976-05-15,398
GOR,1977-05-15,1251
GOR,1978-05-15,609
GOR,1979-05-15,595
GOR,1980-05-15,740
GOR,1981-05-15,988
GOR,1982-05-15,1414
GOR,1983-05-15,1038
GOR,1984-05-15,440
GOR,1985-05-15,520
GOR,1986-05-15,782
GOR,1987-05-15,812
GOR,1988-05-15,1391
GOR,1989-05-15,562
GOR,1990-05-15,902
GOR,1991-05-15,603
GOR,1992-05-15,106
GOR,1993-05-15,422
GOR,1994-05-15,535
GOR,1995-05-15,1303
GOR,1996-05-15,1212
GOR,1997-05-15,772
GOR,1998-05-15,858
GOR,1999-05-15,655
GOR,2000-05-15,1227
GOR,2001-05-15,410
GOR,2002-05-15,648
GOR,2003-05-15,795
GOR,2004-05-15,532
GOR,2005-05-15,983
GOR,2006-05-15,247
GOR,2007-05-15,824
GOR,2008-05-15,914
GOR,2009-05-15,297
GOR,2010-05-15,664
GOR,2011-05-15,1766
GOR,2012-05-15,254
GOR,2013-05-15,1161
GOR,2014-05-15,1151
GOR,2015-05-15,1868
GOR,2016-05-15,461
GOR,2017-05-15,1125
GOR,2018-05-15,665
GOR,1959-06-15,904
GOR,1960-06-15,391
GOR,1961-06-15,325
GOR,1962-06-15,1495
GOR,1963-06-15,1491
GOR,1964-06-15,1417
GOR,1965-06-15,1187
GOR,1966-06-15,919
GOR,1967-06-15,2067
GOR,1968-06-15,1276
GOR,1969-06-15,678
GOR,1970-06-15,774
GOR,1971-06-15,566
GOR,1972-06-15,1126
GOR,1973-06-15,302
GOR,1974-06-15,172
GOR,1975-06-15,1158
GOR,1976-06-15,244
GOR,1977-06-15,577
GOR,1978-06-15,319
GOR,1979-06-15,921
GOR,1980-06-15,762
GOR,1981-06-15,254
GOR,1982-06-15,1168
GOR,1983-06-15,840
GOR,1984-06-15,459
GOR,1985-06-15,331
GOR,1986-06-15,799
GOR,1987-06-15,531
GOR,1988-06-15,608
GOR,1989-06-15,256
GOR,1990-06-15,732
GOR,1991-06-15,1412
GOR,1992-06-15,1328
GOR,1993-06-15,1537
GOR,1994-06-15,409
GOR,1995-06-15,1656
GOR,1996-06-15,427
GOR,1997-06-15,1280
GOR,1998-06-15,1274
GOR,1999-06-15,1210
GOR,2000-06-15,388
GOR,2001-06-15,1451
GOR,2002-06-15,156
GOR,2003-06-15,1529
GOR,2004-06-15,431
GOR,2005-06-15,1530
GOR,2006-06-15,810
GOR,2007-06-15,184
GOR,2008-06-15,858
GOR,2009-06-15,1095
GOR,2010-06-15,1316
GOR,2011-06-15,1531
GOR,2012-06-15,420
GOR,2013-06-15,832
GOR,2014-06-15,1099
GOR,2015-06-15,1241
GOR,2016-06-15,282
GOR,2017-06-15,701
GOR,2018-06-15,1358
GOR,1959-07-15,105
GOR,1960-07-15,280
GOR,1961-07-15,402
GOR,1962-07-15,1068
GOR,1963-07-15,695
GOR,1964-07-15,800
GOR,1965-07-15,958
GOR,1966-07-15,489
GOR,1967-07-15,1560
GOR,1968-07-15,248
GOR,1969-07-15,1203
GOR,1970-07-15,221
GOR,1971-07-15,186
GOR,1972-07-15,1109
GOR,1973-07-15,759
GOR,1974-07-15,209
