sta,ecoreg,type,watshed,gage_group,drain_dens,area,elev,field_cap,slope,jul_temp,TWI,NMDS1,NMDS2,gof
PAS2,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,2.64070456103877,1.88617566125135,1.55038099924289,3.83351638187397,1.95507355566372,5.01055287792389,0.805615202947513,0.816074196070124,0.137532069521075,0.0065798682926745
PAS3,White River Badlands,ungaged,White Riv,Tertiary Clays,2.83530905346603,2.03910882297443,1.02529720832168,3.75464139504508,1.95507355566372,5.11947794048745,1.07716052860502,0.877257871335022,0.379387285567294,0.00637677223447976
POR1,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,3.02392138950966,1.07053213206158,3.20866863160817,4.25756748053502,2.8641309901032,4.90162781536032,2.1443441317683,-0.793689658777954,-0.302580958962897,0.0128495447330176
POR2,Pine Ridge Escarpment,ungaged,White Riv,Tertiary Clays,3.20706320025813,1.52933161723082,2.60190390970773,4.42655905204353,3.18858763235271,5.01055287792389,2.86630446755682,-1.0595728223755,0.349074987542013,0.0119542607832095
POR3,White River Badlands,ungaged,White Riv,Tertiary Clays,3.5586770145634,1.78422022010263,1.92011647195956,4.21967209460498,3.18858763235271,5.01055287792389,2.80417890569493,-0.826163183400423,0.57597976669127,0.0116462235324425
POT1,Pine Ridge Escarpment,ungaged,White Riv,Tertiary Clays,3.02392138950966,1.27444301435902,1.86194299753116,4.12437539109181,2.8641309901032,5.11947794048745,2.62175127172391,-0.523153743861293,0.141503458902439,0.0117194595433083
RED1,Pine Ridge Escarpment,ungaged,White Riv,Tertiary Clays,3.38518455919668,0.968576690912854,2.22708892986974,4.12437539109181,3.18858763235271,5.01055287792389,2.90809538265627,-1.09936517962822,0.171439441992702,0.014774648136209
WCC1,Pine Ridge Escarpment,ungaged,White Riv,Tertiary Clays,2.64070456103877,1.83519794067699,3.38336337955388,2.08257739189358,3.46291181462016,4.6837776902332,3.64359649159579,-1.81267676151112,-0.868890209442591,0.0134101424026274
WCC2,Pine Ridge Escarpment,ungaged,White Riv,Tertiary Clays,2.64070456103877,1.98813110240007,3.02210827909446,2.53891681609062,3.18858763235271,4.79270275279676,3.29818331542573,-1.32677295638154,-0.470913732896479,0.0126920091189213
WCC3,Pine Ridge Escarpment,ungaged,White Riv,Tertiary Clays,2.64070456103877,2.14106426412315,2.53432664821123,2.9959636345089,3.46291181462016,4.90162781536032,3.3431349315999,-1.28217425807823,-0.0703906337495144,0.0123101217247686
WHI1,Pine Ridge Escarpment,ungaged,White Riv,Tertiary Clays,3.5586770145634,2.75279691101548,2.83095817887076,3.55490688893522,2.46702815337797,4.6837776902332,2.38738712323965,-0.504621440636998,0.686539829355983,0.00995705631391058
WHI2,Pine Ridge Escarpment,ungaged,White Riv,Tertiary Clays,3.5586770145634,3.00768551388728,2.38127755783156,3.81385092964034,2.46702815337797,4.90162781536032,2.33032185080628,-0.267457125356147,0.872218065391589,0.00641375118147321
WHI3,White River Badlands,ungaged,White Riv,Tertiary Clays,3.38518455919668,3.26257411675909,1.61291943213661,3.87274184096728,2.46702815337797,4.90162781536032,2.34927726624294,0.0665499744220134,1.07714665580723,0.00778402755406466
WHI4,White River Badlands,ungaged,White Riv,Tertiary Clays,3.20706320025813,3.46648499905653,0.871790536441367,3.83351638187397,2.46702815337797,5.01055287792389,2.08979182082464,0.546704025851015,1.28902959155225,0.0109089000838051
WHI5,White River Badlands,ungaged,White Riv,Tertiary Clays,3.38518455919668,3.31355183733345,1.34524868456277,3.85314662282817,2.46702815337797,5.01055287792389,2.27384997569734,0.208216860812244,1.14915074434448,0.00875731482763111
WOK1,Sandhills Fringe,ungaged,White Riv,Sandhills Fringe,2.64070456103877,0.764665808615411,3.58037591361514,1.77342297562387,2.46702815337797,4.57485262766963,2.90809538265627,-1.15864866560209,-1.56979950485927,0.00963777965479217
WOK2,Pine Ridge Escarpment,ungaged,White Riv,Tertiary Clays,2.23096709093677,1.27444301435902,3.21107986012477,2.64967508194513,1.95507355566372,4.6837776902332,1.96466335468902,-0.170814116349025,-0.997917677317856,0.0118857025672534
WOK3,Pine Ridge Escarpment,ungaged,White Riv,Tertiary Clays,2.64070456103877,1.78422022010263,2.59968923183119,3.85314662282817,3.18858763235271,4.90162781536032,2.86630446755682,-0.865726509932438,0.0349057046892307,0.00689536512041247
WOK4,White River Badlands,ungaged,White Riv,Tertiary Clays,2.83530905346603,1.93715338182571,2.05661073221619,3.95077619645975,3.18858763235271,5.01055287792389,2.9713497935883,-0.769714496795332,0.294373012550554,0.00970732009201596
WOL1,Sandhills Fringe,ungaged,White Riv,Sandhills Fringe,2.64070456103877,0.458799485169247,3.53089511930835,1.14650130900911,3.18858763235271,4.79270275279676,3.48000335598207,-1.83084876059637,-2.03714556997538,0.0119194481669791
